s_exit_short,Annual Return,Standard deviation of returns,Maximum Drawdown,Sharpe Ratio
0.2,1.2297979226970037,0.27697448718185164,-779.8503354609675,4.385956031753245
0.25,1.1810504668974147,0.2609210344952445,-679.8445206776323,4.468978398591575
0.3,1.101886857490355,0.254101547512103,-653.8561988577367,4.277372051181963
0.35,1.0675231419782554,0.24707044367193953,-602.912436168288,4.2600123524924625
0.4,1.0175367255085046,0.23464397213543345,-584.6905288707767,4.272586746570474
0.45,0.9517831754059626,0.22872135189016785,-580.167411860306,4.095739937108305
0.5,0.8747646265018684,0.22502472912187652,-580.1567863326127,3.820756189139585
0.55,0.9573791750431017,0.20750773042706805,-587.866870323478,4.541417194933449
0.6,0.9706338001024148,0.1986359713391422,-553.9089233466184,4.810980577484671
0.65,0.9829965486335194,0.19320397075174184,-535.0761987206824,5.010231129655974
0.7,0.9592464614756097,0.1880449528834544,-538.9213120754666,5.021386891786615
0.75,0.9610602697744489,0.1787087514714369,-465.17438590609163,5.293866483789174
