time,close,high,low,open,volumefrom,volumeto
2018-06-28,0.02314,0.02356,0.02314,0.02356,11091.8,256.66
2018-06-29,0.02786,0.02786,0.02394,0.02394,1411939.3,39336.63
2018-06-30,0.0263,0.02902,0.02448,0.02902,1662182.6,43715.4
2018-07-01,0.02486,0.02621,0.02441,0.02621,1143166.6,28419.12
2018-07-02,0.02574,0.02669,0.02383,0.02621,996044.8,25638.19
2018-07-03,0.02772,0.02772,0.02217,0.02495,2276295.0,63098.9
2018-07-04,0.02756,0.02943,0.02429,0.02803,1160709.0,31989.14
2018-07-05,0.02385,0.02759,0.02244,0.02759,683371.5,16298.41
2018-07-06,0.02538,0.02538,0.02256,0.02397,2270587.1,57627.5
2018-07-07,0.02818,0.03109,0.02332,0.02623,2646097.4,74567.02
2018-07-08,0.02771,0.02869,0.02577,0.0282,2220693.4,61535.41
2018-07-09,0.03017,0.03206,0.02499,0.02687,1236967.9,37319.32
2018-07-10,0.02726,0.02899,0.0225,0.02769,1321750.2,36030.91
2018-07-11,0.02495,0.02807,0.02139,0.02807,2591764.4,64664.52
2018-07-12,0.0237,0.02499,0.02155,0.02413,3097008.2,73399.09
2018-07-13,0.02335,0.02422,0.02206,0.02379,34447.7,804.35
2018-07-14,0.02516,0.02559,0.02169,0.02342,731680.6,18409.08
2018-07-15,0.02563,0.02743,0.02338,0.02608,1760389.8,45118.79
2018-07-16,0.02537,0.02777,0.02537,0.02729,293422.2,7444.12
2018-07-17,0.02795,0.02845,0.02645,0.02645,252827.0,7066.51
2018-07-18,0.02922,0.03162,0.02587,0.02683,1282070.9,37462.11
2018-07-19,0.02952,0.03046,0.02578,0.02859,1537074.3,45374.43
2018-07-20,0.02648,0.02917,0.02648,0.02828,842134.1,22299.71
2018-07-21,0.02858,0.02997,0.02444,0.0272,2365744.7,67612.98
2018-07-22,0.02975,0.0302,0.02563,0.02837,1818648.3,54104.79
2018-07-23,0.02833,0.02968,0.02698,0.02923,1411861.2,39998.03
2018-07-24,0.03021,0.03069,0.02877,0.03021,1421337.6,42938.61
2018-07-25,0.02781,0.02969,0.02639,0.02969,1567166.3,43582.89
2018-07-26,0.02403,0.02772,0.02403,0.02634,1094850.7,26309.26
2018-07-27,0.02583,0.03006,0.02442,0.02442,1072024.9,27690.4
2018-07-28,0.02718,0.02764,0.02577,0.02577,833875.3,22664.73
2018-07-29,0.02564,0.02704,0.02564,0.02704,161214.7,4133.54
2018-07-30,0.02465,0.02648,0.02283,0.02511,2220501.8,54735.37
2018-07-31,0.02333,0.02419,0.02246,0.02333,135814.7,3168.56
2018-08-01,0.02393,0.02393,0.02225,0.02267,291546.3,6976.7
2018-08-02,0.0226,0.02342,0.02177,0.02342,934800.4,21126.49
2018-08-03,0.02213,0.02297,0.02172,0.02297,474224.2,10494.58
2018-08-04,0.01994,0.02238,0.01994,0.02157,238117.0,4748.05
2018-08-05,0.02167,0.02208,0.02003,0.02003,620702.2,13450.62
2018-08-06,0.01944,0.02146,0.01944,0.02146,989033.4,19226.81
2018-08-07,0.01814,0.01927,0.01776,0.01814,212492.0,3854.6
2018-08-08,0.01671,0.01849,0.01671,0.01707,329012.0,5497.79
2018-08-09,0.01599,0.01818,0.01563,0.01708,2507856.8,40100.63
2018-08-10,0.01393,0.01625,0.01393,0.01459,892501.8,12432.55
2018-08-11,0.01208,0.01431,0.01208,0.01336,55023.4,664.68
2018-08-12,0.01305,0.01368,0.01114,0.01209,1858198.2,24249.49
2018-08-13,0.009941,0.01165,0.009941,0.01165,294207.8,2924.72
2018-08-14,0.0103,0.01141,0.009741,0.009741,791374.6,8151.16
2018-08-15,0.01097,0.01097,0.01012,0.01041,1029551.2,11294.18
2018-08-16,0.01061,0.01119,0.01032,0.01119,440297.7,4671.56
2018-08-17,0.0127,0.01397,0.01143,0.01175,1667763.5,21180.6
2018-08-18,0.01179,0.01179,0.01091,0.01179,804469.2,9484.69
2018-08-19,0.01348,0.01468,0.01109,0.01198,3070613.2,41391.87
2018-08-20,0.01083,0.01219,0.01002,0.01219,1147145.6,12423.59
2018-08-21,0.01125,0.01237,0.01068,0.01125,1236330.5,13908.72
2018-08-22,0.01027,0.0119,0.01,0.01081,2283541.1,23451.97
2018-08-23,0.01048,0.01103,0.01048,0.01048,968298.0,10147.76
2018-08-24,0.01182,0.01322,0.01069,0.01069,1263171.6,14930.69
2018-08-25,0.01138,0.01221,0.0111,0.01166,1515768.0,17249.44
2018-08-26,0.01097,0.01125,0.01042,0.01125,2638524.7,28944.62
2018-08-27,0.01094,0.01181,0.01066,0.01152,4625926.7,50607.64
2018-08-28,0.01153,0.01153,0.01123,0.01123,27190.3,313.5
2018-08-29,0.01184,0.01241,0.01097,0.01126,2590229.1,30668.31
