time,volumeto,txCount,marketcap(USD),close,exchangeVolume(USD),reward
7/03/2015,58153.96224,8,251600,1,58197,0
8/03/2015,17.33126796,2,251600,1,31,0
9/03/2015,15.42279432,5,251600,1,143,0
10/03/2015,49939.93691,23,251600,1,49997,0
11/03/2015,4.04,5,251600,1,49,0
12/03/2015,80423.86284,14,251600,1,80418,0
13/03/2015,550.9835391,8,251600,1,75,0
14/03/2015,34209.76905,16,251600,1,17705,0
15/03/2015,15410.04,11,251600,1,15125,0
16/03/2015,136.9193664,4,251600,1,49632,0
17/03/2015,48.94365316,5,251600,1,4284,0
18/03/2015,40.39855394,7,251600,1,202,0
19/03/2015,5.40496237,4,251600,1,714,0
20/03/2015,0,0,251600,1,133,0
21/03/2015,0,0,251600,1,206,0
22/03/2015,0,0,251600,1,67,0
23/03/2015,15.3562564,5,251600,1,66,0
24/03/2015,1037.738517,28,251600,1,1179,0
25/03/2015,42.911,2,251600,1,92,0
26/03/2015,11.09767372,4,251600,1,2,0
27/03/2015,6.11,2,251600,1,5,0
28/03/2015,38.08825639,10,251600,1,17,0
29/03/2015,22.11131667,8,251600,1,21,0
30/03/2015,471.9810494,5,251600,1,495,0
31/03/2015,2.14,5,251600,1,37,0
1/04/2015,12850,2,251600,1,14,0
2/04/2015,7.78617304,9,251600,1,79970,0
3/04/2015,20484.80231,16,251600,1,8887,0
4/04/2015,194.1,3,251600,1,2018,0
5/04/2015,750,1,251600,1,2887,0
6/04/2015,504.33,7,251600,1,254,0
7/04/2015,0.00201,3,251600,1,19179,0
8/04/2015,922.6709654,8,251600,1,1024,0
9/04/2015,80.03807513,14,251600,1,100949,0
10/04/2015,4.311,6,251600,1,470,0
11/04/2015,2.62349022,3,251600,1,2869,0
12/04/2015,1.01,1,251600,1,1971,0
13/04/2015,13.77549731,11,251600,1,46026,0
14/04/2015,48.36146355,19,251600,1,50324,0
15/04/2015,1313.146886,15,251600,1,40700,0
16/04/2015,1357.164298,41,251600,1,46909,0
17/04/2015,87.11450781,24,251600,1,50,0
18/04/2015,6.3,10,251600,1,49,0
19/04/2015,18.2236608,82,251600,1,22,0
20/04/2015,73.05369017,16,251600,1,38,0
21/04/2015,21.66978593,7,251600,1,85933,0
22/04/2015,12189.20202,11,251600,1,40306,0
23/04/2015,1563.472096,8,251600,1,21632,0
24/04/2015,12185.07788,16,251600,1,20262,0
25/04/2015,256.01,7,251600,1,26,0
26/04/2015,0,0,251600,1,555,0
27/04/2015,20343.65012,22,251600,1,17806,0
28/04/2015,25413.34542,22,251600,1,42628,0
29/04/2015,32.98885957,9,251600,1,12,0
30/04/2015,235.4963478,10,251600,1,613,0
1/05/2015,2.971476,2,251600,1,48,0
2/05/2015,1,1,251600,1,4,0
3/05/2015,1425.071153,5,251600,1,1518,0
4/05/2015,11.15806422,7,251600,1,83171,0
5/05/2015,54.09873936,5,251600,1,21,0
6/05/2015,12.47787934,7,251600,1,10,0
7/05/2015,121.345414,4,251600,1,120,0
8/05/2015,1287.897318,9,251600,1,546,0
9/05/2015,124.0809992,11,251600,1,171,0
10/05/2015,4934.047343,15,251600,1,2466,0
11/05/2015,1115.8,8,251600,1,584,0
12/05/2015,2,4,251600,1,5,0
13/05/2015,1689.106638,11,251600,1,0,0
14/05/2015,4827.240055,16,251600,1,2185,0
15/05/2015,122.596697,13,251600,1,92,0
16/05/2015,179.6,2,251600,1,297,0
17/05/2015,632.6973497,11,251600,1,683,0
