date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD)
6/11/2014,9458.056728,6,10675438.99,0.023589,9095
7/11/2014,8180.0225,6,10747984.1,0.02375,6966
8/11/2014,3696.908754,5,10767487.64,0.023793,2096
9/11/2014,11930.37937,9,10604380.6,0.023432,6318
10/11/2014,1740.028529,1,11129534.07,0.024593,6321
11/11/2014,41325.93414,12,11498637.49,0.025408,18230
12/11/2014,74339.84158,17,11189280.41,0.024725,12545
13/11/2014,35106.98087,16,13048745.47,0.028834,15088
14/11/2014,67266.23362,14,11717846.7,0.025893,2874
15/11/2014,1.77009,1,11443511.55,0.025287,2130
16/11/2014,8798.984018,5,11410372.13,0.025213,3241
17/11/2014,23215.11387,16,12277790.27,0.02713,8307
18/11/2014,21687.88207,16,12920678.15,0.028551,4229
19/11/2014,65610.90315,9,12078301.25,0.026689,2311
20/11/2014,57083.35168,10,12623949.42,0.027895,6572
21/11/2014,137459.8828,7,11552348.28,0.025527,2649
22/11/2014,1718.1978,3,12187465.89,0.026931,5695
23/11/2014,101025.4557,16,12376896.4,0.027349,46615
24/11/2014,28222.08415,21,13673014.7,0.030213,20761
25/11/2014,113348.9573,6,12631514.66,0.027912,5188
26/11/2014,4379.287674,9,13382242.76,0.029571,3411
27/11/2014,167942.5496,15,13205931.54,0.029181,59931
28/11/2014,92076.6803,22,12922881.74,0.028556,22996
29/11/2014,26807.90714,6,11430893.65,0.025259,1972
30/11/2014,77841.54818,12,12184842.53,0.026925,2307
1/12/2014,7925.502625,6,12610288.63,0.027865,18836
2/12/2014,31159.10481,18,13479809.6,0.029786,34109
3/12/2014,73121.63638,28,14630018,0.032328,65300
4/12/2014,118008.7803,27,20628936.27,0.045583,30984
5/12/2014,10257.55373,17,19492458.61,0.043072,25188
6/12/2014,159200.2371,51,21829732.15,0.048237,75486
7/12/2014,226808.1306,51,25830290.36,0.057077,47901
8/12/2014,70072.54113,27,25416066.14,0.056162,21580
9/12/2014,1089951.29,28,18939545.65,0.041851,12476
10/12/2014,20331.96256,10,19014615.08,0.042016,12123
11/12/2014,14158.19144,6,19822367.64,0.043801,7418
12/12/2014,23954.11757,22,21857418.7,0.048298,6576
13/12/2014,3307.211772,10,23447507.11,0.051812,7544
14/12/2014,9968.543559,7,22891546.81,0.050583,4150
15/12/2014,6541.622709,3,23600206.62,0.052149,2383
16/12/2014,33671.55059,10,20872622.59,0.046122,38696
17/12/2014,138359.0185,21,18917778.7,0.041802,23371
18/12/2014,36035.02749,10,18747615.39,0.041426,8640
19/12/2014,503025.3773,15,18622324.12,0.04115,22866
20/12/2014,32643.31225,15,20287657.63,0.044829,13657
21/12/2014,1890.891028,9,19725763.34,0.043588,3962
22/12/2014,9012.420864,5,19347680.79,0.042752,14980
23/12/2014,7854.974406,16,21786531,0.048141,14441
24/12/2014,144113.6346,18,23933189.31,0.052885,20333
25/12/2014,10900.73415,10,24114021.6,0.053284,31224
26/12/2014,31511.0665,22,25038908.97,0.055328,32080
27/12/2014,62097.9015,11,25494797.13,0.056335,17444
28/12/2014,3722.915283,9,22424593.99,0.049551,18372
29/12/2014,36626.84225,28,23980032.09,0.052988,11497
30/12/2014,6118.6963,5,23428491.94,0.05177,7381
31/12/2014,20796.18301,17,21743786.18,0.048047,2640
1/01/2015,483.12873,2,23616447.23,0.052185,13094
2/01/2015,33748.77944,14,24434305.01,0.053992,4649
3/01/2015,5881.085556,5,23221676.24,0.051313,18569
4/01/2015,29471.99836,16,21622340.7,0.047779,6208
5/01/2015,3094.299296,7,18239480.31,0.040304,11915
6/01/2015,45877.70495,38,21608019.86,0.047747,7986
7/01/2015,59478.82441,19,22107879.58,0.048852,7818
8/01/2015,719.522818,2,23736641.2,0.052451,3648
9/01/2015,25004.04047,16,23045687.48,0.050924,6108
10/01/2015,37690.06813,2,22973822.72,0.050765,1554
11/01/2015,55982.56598,15,20798947.86,0.045959,10965
12/01/2015,42088.03801,19,20562918.96,0.045438,70868
13/01/2015,954758.769,31,23647158.99,0.052253,49015
14/01/2015,227531.2887,31,17056932.72,0.03769,26691
15/01/2015,70656.98392,15,13567404.07,0.02998,9472
16/01/2015,25365.41074,34,15643978.34,0.034568,10963
17/01/2015,9072.10845,21,14572988.73,0.032202,17102
18/01/2015,39067.29219,22,12791158.8,0.028264,8979
19/01/2015,309170.7192,28,13382337.45,0.029571,4905
20/01/2015,4330.73256,18,13406459.95,0.029624,3013
21/01/2015,5992.272574,13,12941598.62,0.028597,3923
22/01/2015,30836.99614,14,13797635.09,0.030488,14618
23/01/2015,119661.1213,40,14362529.84,0.031737,4636
24/01/2015,90833.23887,19,15477656.06,0.034201,9441
25/01/2015,15967.39781,17,15713662.99,0.034722,8730
26/01/2015,110320.0686,19,15499232.21,0.034248,29818
27/01/2015,33438.95526,4,16095834.99,0.035567,8998
28/01/2015,4740.59518,8,15109669.89,0.033388,2829
29/01/2015,44315.13396,21,13627845.65,0.030113,2500
30/01/2015,105620.231,11,13702242.54,0.030278,2654
31/01/2015,13440.79974,7,13319301.48,0.029432,1339
1/02/2015,932.362326,6,13599433.14,0.030051,5225
2/02/2015,31890.95337,10,13999837.45,0.030935,13256
3/02/2015,23228.01482,11,14996776.38,0.033138,18859
4/02/2015,55128.06129,14,14381165.54,0.031778,3699
5/02/2015,9795.424782,7,14478509.58,0.031993,7460
6/02/2015,3378.88593,13,13400032.01,0.02961,3601
7/02/2015,8606.505312,12,13424469.01,0.029664,8036
8/02/2015,899.383056,6,13319296.28,0.029432,2524
9/02/2015,124.813338,23,13328211.88,0.029451,3442
10/02/2015,5869.809346,5,13312640.95,0.029417,5444
11/02/2015,5685.749712,2,12827012.96,0.028344,2475
12/02/2015,1665.55319,8,13099265.25,0.028945,5535
13/02/2015,8706.6,2,13133975.78,0.029022,2185
14/02/2015,6563.13522,4,14151314.06,0.03127,5497
15/02/2015,43444.21608,8,16183376.73,0.03576,2753
16/02/2015,36800.75816,20,14371254.82,0.031756,507
17/02/2015,44815.03418,10,13646941.28,0.030155,36310
18/02/2015,35794.26138,19,13850271.76,0.030605,3453
19/02/2015,1448.104392,2,13234569.77,0.029244,5990
20/02/2015,0.655809,2,14132669.84,0.031229,1613
21/02/2015,3860.527712,7,14253495.93,0.031496,2167
22/02/2015,3179.3175,3,13644233.52,0.03015,17749
23/02/2015,20303.7829,16,11110351.59,0.02455,5611
24/02/2015,5064.486552,7,13253636.23,0.029286,2815
25/02/2015,8555.12962,10,12906388.11,0.028519,836
26/02/2015,1706.8136,3,12617292.65,0.02788,603
27/02/2015,1953.959448,11,13064495.39,0.028868,2066
28/02/2015,2902.918,4,13350253.57,0.0295,7843
1/03/2015,36418.63391,17,14086318.08,0.031126,6218
2/03/2015,19227.92023,11,14802722.07,0.032709,3750
3/03/2015,8079.09115,13,14474934.96,0.031985,4335
4/03/2015,65807.81825,12,14285315.97,0.031566,3049
5/03/2015,63817.14724,11,13956041.5,0.030839,12304
6/03/2015,106451.9233,21,13034057.37,0.028801,6390
7/03/2015,25934.35934,5,12342549.95,0.027273,7009
8/03/2015,48594.25361,15,12639225.05,0.027929,22416
9/03/2015,20644.59802,16,10319965.04,0.022804,9823
10/03/2015,9314.153032,25,11604717.75,0.025643,5025
11/03/2015,5893.41081,15,12484478.99,0.027587,6229
12/03/2015,46584.01654,14,13347127.84,0.029493,9141
13/03/2015,8615.787488,16,12823290.09,0.028336,4792
14/03/2015,312257.8502,15,12356895.72,0.027305,7470
15/03/2015,1398.476912,4,11074952.28,0.024472,4043
16/03/2015,3451.802076,9,11151927.27,0.024642,2723
17/03/2015,1321.3486,3,11566377.05,0.025558,3795
18/03/2015,10150.05322,9,12262411.52,0.027096,5405
19/03/2015,10017.56894,9,10864640.13,0.024007,12040
20/03/2015,10459.3925,9,11461528.78,0.025327,10187
21/03/2015,252.673725,5,9727614.334,0.021495,2094
22/03/2015,1386.425204,7,10338022.44,0.022844,1670
23/03/2015,4172.330844,8,11011779.03,0.024333,3552
24/03/2015,16839.34963,13,11020340.91,0.024351,10794
25/03/2015,59632.99284,25,10523153.02,0.023253,19910
26/03/2015,11670.91454,15,9960953.625,0.022011,2375
27/03/2015,4890.62283,11,10181071.85,0.022497,5868
28/03/2015,41060.11961,26,9852922.869,0.021772,7295
29/03/2015,9432.238032,4,9228268.087,0.020392,2223
30/03/2015,24337.05789,9,9230528.231,0.020396,14979
31/03/2015,20475.55224,6,7765799.386,0.01716,11242
1/04/2015,19537.78362,15,7968006.978,0.017607,8867
2/04/2015,11460.64304,15,8674380.546,0.019168,3833
3/04/2015,12218.72205,11,8158861.677,0.018029,5336
4/04/2015,1688.065798,6,8957505.708,0.019793,7487
5/04/2015,15451.52717,9,8920930.649,0.019712,9748
6/04/2015,12213.3454,11,9303347.578,0.020557,5601
7/04/2015,97380.32447,18,9237500.156,0.020412,13672
8/04/2015,55027.74258,14,9747756.062,0.02154,18234
9/04/2015,9010.378014,9,9911257.852,0.021901,8906
10/04/2015,3787.17822,8,9647192.933,0.021317,7585
11/04/2015,8956.426356,9,9844687.176,0.021754,11168
12/04/2015,2329.871796,5,9712679.978,0.021462,7149
13/04/2015,58170.91644,11,10225681.86,0.022596,16279
14/04/2015,2676.564473,13,11994141.93,0.026503,4136
15/04/2015,53175.00824,12,10996619.56,0.024299,7061
16/04/2015,4181.847402,7,10217441.06,0.022577,4732
17/04/2015,1497.38299,3,11184833.02,0.024715,2773
18/04/2015,54181.7213,10,10943938.23,0.024183,4522
19/04/2015,8469.312,34,10861484.79,0.024,1496
20/04/2015,3379.549816,6,10844705.87,0.023963,1952
21/04/2015,8102.934399,7,10197486.7,0.022533,5458
22/04/2015,16699.66729,11,11290373.19,0.024948,9379
23/04/2015,28332.99798,6,10670643.23,0.023579,8111
24/04/2015,30614.14175,5,10728068.74,0.023706,7397
25/04/2015,12683.13094,15,10465540.66,0.023126,8352
26/04/2015,149023.1094,23,10173782.6,0.022481,7087
27/04/2015,893.017071,9,9559177.084,0.021123,4071
28/04/2015,2304.825952,8,9910633.287,0.021899,4641
29/04/2015,14700.91498,7,9531294.001,0.021061,8296
30/04/2015,871.112853,8,9819072.423,0.021697,8565
1/05/2015,57748.66326,14,10417028.71,0.023018,6617
2/05/2015,22619.42397,7,10609033.96,0.023443,16185
3/05/2015,1741.752781,12,9486734.043,0.020963,2082
4/05/2015,24507.34283,5,10525057.51,0.023257,2288
5/05/2015,8765.749288,20,10379506.44,0.022936,10279
6/05/2015,2.264325,1,9759198.552,0.021565,2867
7/05/2015,11188.61832,9,9438247.051,0.020856,5379
8/05/2015,21467.58888,10,9185588.796,0.020297,2573
9/05/2015,21174.52735,6,9403223.327,0.020778,9199
10/05/2015,13088.17798,19,9529042.144,0.021056,13671
11/05/2015,1396.839834,6,8759878.253,0.019357,1545
12/05/2015,4815.14215,6,8853954.952,0.019565,2529
13/05/2015,45649.6686,16,8578462.022,0.018956,9379
14/05/2015,8774.786888,6,9604879.552,0.021224,4268
