date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),realizedCap(USD),generatedCoins,fees,activeAddresses,averageDifficulty,paymentCount,medianTxValue(USD),medianFee,blockSize,blockCount
10/01/2014,,,0,,,,,4248000,0,59,0.000244141,0,,,11218,59
11/01/2014,,,6,,,,,90576000,0.54,290,0.000262558,6,,0,274266,1258
12/01/2014,,,2365,,,,,31184000,3.66,3700,0.927893756,2345,,0,891579,1522
13/01/2014,,,6286,,,,,22656000,5.00000002,7175,4.576648532,6263,,0,1892876,1416
14/01/2014,,,8606,,,,,23552000,8.76,9611,6.17734192,8562,,0,2522440,1472
15/01/2014,,,6187,,,,,12160000,10.3390368,7123,8.833337559,6158,,0,1957150,1488
16/01/2014,,,5629,,,,,11272000,10.8201,6437,10.13962015,5599,,0,1810118,1409
17/01/2014,,,6250,,,,,11920000,19.0401,7268,12.3599574,6237,,0,2028079,1490
18/01/2014,,,9221,,,,,11312000,21.50492317,10274,15.28101586,9196,,0,2627194,1414
19/01/2014,,,14605,,,,,12120000,72.02139797,15987,18.65383152,14509,,0,4499740,1515
20/01/2014,,,12180,,,,,10440000,40.97361633,13750,19.17112541,12053,,0,4088364,1305
21/01/2014,,,13006,,,,,11400000,38.73024572,14538,10.0829887,12944,,0,4034164,1425
22/01/2014,,,14876,,,,,11448000,46.92,16061,10.77197484,14827,,0,4443950,1431
23/01/2014,,,16246,,,,,12064000,60.50298813,17691,14.14914896,16131,,0,5459267,1508
24/01/2014,,,14846,,,,,11448000,52.31190942,16323,23.57017814,14759,,0,4884995,1431
25/01/2014,,,13893,,,,,11728000,50.74319952,15555,22.37747001,13823,,0,4601741,1466
26/01/2014,,,14273,,,,,11024000,49.36861888,15770,22.89901868,14192,,0,4635464,1378
27/01/2014,,,12040,,,,,11504000,47.12460878,13443,18.25623387,11996,,0,3729389,1438
28/01/2014,,,9323,,,,,11120000,42.88065545,10779,20.25436681,9229,,0,3244427,1390
29/01/2014,,,8935,,,,,11856000,24.90907026,10397,18.03476252,8878,,0,3041331,1482
30/01/2014,,,6422,,,,,10776000,23.99996983,7662,17.81697406,6347,,0,2488166,1347
31/01/2014,,,5696,,,,,11760000,21.6733168,6892,16.98146686,5641,,0,2017093,1470
1/02/2014,,,5762,,,,,11104000,29.76033283,6992,19.00662303,5716,,0,2691865,1388
2/02/2014,,,5867,,,,,11024000,18.89537539,7077,17.51448105,5822,,0,2203034,1378
3/02/2014,,,7357,,,,,11536000,27.25012949,8641,14.76658211,7303,,0,2547428,1442
4/02/2014,,,5980,,,,,11440000,29.1092844,7151,13.60141908,5936,,0,2458323,1430
5/02/2014,,,5229,,,,,11112000,20.67096835,6360,14.00384504,5176,,0,2215959,1389
6/02/2014,128172.7641,99080.94793,6026,647525.8861,0.001489,27811,0,12040000,41.28482202,7677,16.133801,5895,7.445,0,3299804,1505
7/02/2014,112984.548,77542.77013,8339,616281.9374,0.001378,28051,0,11600000,58.09597741,10117,20.88643805,8194,6.25438365,0,3159370,1450
8/02/2014,91120.20649,56962.40149,9687,531997.4091,0.001161,13517,0,10720000,41.11972317,11274,19.93715077,9584,5.289101629,0,3173806,1340
