time (UTC), time (unix millis), index (BTC), index (USD)
2019-06-01 00:00:57,1559347257174,0.105484952329003678,904.975523065781317
2019-05-31 00:00:48,1559260848981,0.104721827276260837,869.042604867135992
2019-05-30 00:00:48,1559174448791,0.105272887394328787,913.630965646062009
2019-05-29 00:00:52,1559088052486,0.105110056736387042,920.148918330588913
2019-05-28 00:00:56,1559001656521,0.104761577227466124,924.168337658534824
2019-05-27 00:00:25,1558915225595,0.103398998413688714,904.292292144523799
2019-05-26 00:00:40,1558828840979,0.103742415372991809,839.106125222342143
2019-05-25 00:00:10,1558742410582,0.10384099689458795,833.190699391354769
2019-05-24 00:00:53,1558656053031,0.103709330946546802,817.805324138390688
2019-05-23 00:00:39,1558569639622,0.10415880576900248,798.027488240748085
2019-05-22 00:00:08,1558483208070,0.104699116064743608,834.529215654724226
2019-05-21 00:00:01,1558396801893,0.104224766088214904,835.310577018579465
2019-05-20 00:00:36,1558310436040,0.104768789267356541,860.148279465817836
2019-05-19 00:00:37,1558224037957,0.10507311630033539,766.74125065421606
2019-05-18 00:00:03,1558137603170,0.105774027112165575,781.888658252034929
2019-05-17 00:00:38,1558051238567,0.106173229357008972,838.004192076875597
2019-05-16 00:00:36,1557964836016,0.105141072834311677,862.359359929456787
2019-05-15 00:00:59,1557878459965,0.102010082755686821,816.158540623073577
2019-05-14 00:00:39,1557792039614,0.0990708730676216481,774.971730983515044
2019-05-13 00:00:44,1557705644048,0.101126319246807636,705.0938683358346
2019-05-12 00:00:03,1557619203858,0.101159238231472243,729.112835948306497
2019-05-11 00:00:11,1557532811562,0.101290816440519627,643.466882714695544
2019-05-10 00:00:57,1557446457468,0.101782586379787626,626.851492642610197
2019-05-09 00:00:02,1557360002485,0.103246868791823099,616.418052641093482
2019-05-08 00:00:44,1557273644825,0.103927742147853469,604.276597187109701
2019-05-07 00:00:16,1557187216077,0.105182277052901105,601.969687981267498
2019-05-06 00:00:24,1557100824424,0.104315290537624575,601.053216877998807
2019-05-05 00:00:47,1557014447404,0.10412298387975133,604.883543208486344
2019-05-04 00:00:12,1556928012119,0.105240089206613194,602.668601011589658
2019-05-03 00:00:31,1556841631292,0.105661859692542756,577.600998732477024
2019-05-01 00:00:48,1556668848461,0.10694875078132747,568.519943683156043
2019-04-30 00:00:48,1556582448622,0.105398870205758333,548.756980108266248
2019-04-29 00:00:35,1556496035693,0.106089072890838257,556.469052226380199
2019-04-28 00:00:40,1556409640000,0.106619490239055953,555.13542581560273
2019-04-27 00:00:44,1556323244952,0.106511467162946044,555.66178090430833
2019-04-26 00:00:26,1556236826935,0.106291948092241934,548.177335931318567
2019-04-25 00:00:53,1556150453016,0.106376841485389603,581.651903182354772
2019-04-24 00:00:03,1556064003789,0.107319875536705633,598.85008582520959
2019-04-23 00:00:47,1555977647560,0.108796329325796887,587.478883653764228
2019-04-22 00:00:09,1555891209883,0.109065143220224994,580.02313580776547
2019-04-21 00:00:56,1555804856691,0.110110524431706283,586.894623870426244
2019-04-20 00:00:02,1555718402308,0.110644549388469307,586.529213723717703
2019-04-19 00:00:44,1555632044902,0.110856378299394154,587.688230516226326
2019-04-18 00:00:56,1555545656489,0.110499717572100628,578.929304815833916
2019-04-17 00:00:46,1555459246170,0.110722759665779921,578.729081764081911
2019-04-15 00:00:21,1555286421878,0.111298253101899947,576.054988629206264
2019-04-14 00:00:16,1555200016105,0.110918877954731779,564.289941998335507
2019-04-13 00:00:57,1555113657014,0.110969783718798606,565.765815200854036
2019-04-12 00:00:33,1555027233719,0.111269752242420625,563.947778727333684
2019-04-11 00:00:34,1554940834208,0.112561773066389606,599.842382051312256
2019-04-10 00:00:09,1554854409962,0.112724417539120284,587.373961140760571
2019-04-09 00:00:20,1554768020139,0.113192700733614357,600.426106924420765
2019-04-08 00:00:34,1554681634016,0.113874039918873668,591.927195008288209
2019-04-07 00:00:18,1554595218177,0.113460927065969025,574.898316487456668
2019-04-04 00:00:35,1554336035813,0.112864458900679199,560.285856269700275
2019-04-03 00:00:37,1554249637828,0.112517012124666194,549.554525083189787
2019-04-02 00:00:47,1554163247016,0.112379312119282468,465.683296845148334
2019-04-01 00:00:14,1554076814205,0.112554669273433994,461.165079029174819
2019-03-31 00:00:31,1553990431401,0.112592710444641406,461.618164484597344
2019-03-30 00:00:45,1553904045867,0.112883003091287057,462.96912069310207
2019-03-29 00:00:38,1553817638760,0.112664351865110354,452.894384079524116
2019-03-28 00:00:42,1553731242631,0.113094467658042208,456.338287342966851
2019-03-27 00:00:09,1553644809051,0.111934971650464024,440.071152294400406
2019-03-26 00:00:04,1553558404518,0.11185576094880692,438.427297014939654
2019-03-25 00:00:24,1553472024374,0.11204053748437931,446.109863077822354
2019-03-24 00:00:25,1553385625106,0.112478578711159266,449.030433427837465
2019-03-23 00:00:46,1553299246886,0.111860485189692382,447.072783259965945
2019-03-22 00:00:10,1553212810643,0.111398829533909408,444.941703327160155
2019-03-21 00:00:43,1553126443445,0.111955611450898301,452.173447263444643
2019-03-20 00:00:27,1553040027635,0.112135929241914234,449.28541315900452
2019-03-19 00:00:29,1552953629665,0.11235442872127549,445.930804178091478
2019-03-18 00:00:45,1552867245010,0.112532944470606064,446.520216458339632
2019-03-17 00:00:33,1552780833098,0.112580210657277732,451.326613966685159
2019-03-16 00:00:28,1552694428767,0.112302549647064348,438.520620879750254
2019-03-15 00:00:58,1552608058469,0.11152680776331908,430.841508522717902
2019-03-14 00:00:58,1552521658181,0.111487340613903779,430.405393843051627
2019-03-13 00:00:04,1552435204967,0.11170823122788627,431.51241915213626
