date,value
2017-07-18,54.48001234
2017-07-19,59.13340208
2017-07-20,56.65346301
2017-07-21,65.87523058
2017-07-22,66.97546404
2017-07-23,80.60461375
2017-07-24,79.19247989
2017-07-25,80.4727398
2017-07-26,67.21974394
2017-07-28,67.27634193
2017-07-29,62.20759222
2017-07-30,63.02044532
2017-08-01,62.18197683
2017-08-02,68.30601465
2017-08-03,66.16685245
2017-08-04,70.2890316
2017-08-05,72.31548509
2017-08-06,78.15591318
2017-08-07,78.8849904
2017-08-09,87.31266745
2017-08-10,83.02045037
2017-08-11,86.93349646
2017-08-12,98.40053948
2017-08-13,99.08559279
2017-08-14,93.69433323
2017-08-15,90.46286995
2017-08-16,89.09474744
2017-08-17,92.63374979
2017-08-18,91.78129732
2017-08-19,85.32587563
2017-08-20,87.32987281
2017-08-21,90.43787783
2017-08-23,84.00649808
2017-08-24,82.81664335
2017-08-25,87.02027772
2017-08-26,86.05243545
2017-08-27,86.35153595
2017-08-28,89.97537311
2017-08-29,89.78566457
2017-08-30,91.71881886
2017-08-31,93.45701241
2017-09-01,95.64301826
2017-09-02,100.5417824
2017-09-03,88.05257981
2017-09-04,88.65905582
2017-09-05,72.31983386
2017-09-06,80.53259671
2017-09-07,86.15887861
2017-09-08,87.13393577
2017-09-09,77.28441965
2017-09-10,77.40069102
2017-09-11,75.57491315
2017-09-12,74.07637143
2017-09-13,74.25129918
2017-09-14,68.34370783
2017-09-15,53.45268379
2017-09-16,64.73649871
2017-09-17,65.09996355
2017-09-18,66.18194598
2017-09-19,73.21133888
2017-09-20,67.45610943
2017-09-21,67.34468446
2017-09-22,59.44196961
2017-09-23,60.87088089
2017-09-24,64.67261494
2017-09-25,62.19096786
2017-09-26,66.93488769
2017-09-27,67.30195651
2017-09-28,73.11103521
2017-09-29,72.78004715
2017-09-30,69.56064621
2017-10-01,72.24290271
2017-10-02,71.1743464
2017-10-03,68.14996889
2017-10-04,66.56539003
2017-10-05,65.4049111
2017-10-06,66.16682469
2017-10-07,67.11612336
2017-10-08,64.06387421
2017-10-09,59.43203815
2017-10-10,58.37836371
2017-10-11,60.73353948
2017-10-12,63.38320338
2017-10-13,61.05965581
2017-10-14,60.92641336
2017-10-15,59.92122642
2017-10-16,57.94072379
2017-10-17,62.40179917
2017-10-18,60.8590059
2017-10-19,59.66267254
2017-10-20,58.54369511
2017-10-21,55.43806601
2017-10-22,53.58849446
2017-10-23,54.73905487
2017-10-24,52.10145042
2017-10-25,55.79329573
2017-10-26,56.0485893
2017-10-27,54.75626871
2017-10-28,54.54487719
2017-10-29,54.41964151
2017-10-30,55.93203196
2017-10-31,56.4612023
2017-11-01,54.06042517
2017-11-02,52.35117537
2017-11-03,50.46339569
2017-11-04,53.61066887
2017-11-05,53.81849345
2017-11-06,53.53996159
2017-11-07,53.52286588
2017-11-08,54.55476533
2017-11-09,60.33535911
2017-11-10,64.16653901
2017-11-11,55.88889771
2017-11-12,56.29458693
2017-11-13,51.47906714
2017-11-14,56.33062039
2017-11-15,59.45478028
2017-11-16,59.90218996
2017-11-17,58.92928635
2017-11-20,62.82013166
2017-11-21,67.84516357
2017-11-22,67.77323889
2017-11-23,73.88012406
2017-11-24,72.07085604
2017-11-25,76.15382963
2017-11-25,76.09661988
2017-11-27,80.22747343
2017-11-28,82.6385822
2017-11-28,82.6385822
2017-11-29,82.50162647
2017-11-30,70.36294028
2017-12-01,76.14871833
2017-12-02,83.66385714
2017-12-03,87.32854389
2017-12-04,89.73776547
2017-12-05,96.70335642
2017-12-06,96.39206275
2017-12-07,94.30029514
2017-12-08,83.14845788
2017-12-09,90.85810802
2017-12-10,89.57806768
2017-12-11,81.00531725
2017-12-12,92.41955929
2017-12-13,100.8699729
2017-12-14,116.0734444
2017-12-15,131.5746481
2017-12-16,136.9299437
2017-12-17,168.3745248
2017-12-18,181.5108957
2017-12-19,216.500076
2017-12-20,224.945841
2017-12-21,228.5556775
2017-12-22,271.2018815
2017-12-23,215.6035404
2017-12-24,250.1876834
2017-12-25,251.8977519
2017-12-26,278.472897
2017-12-26,278.760087
2017-12-27,283.5645254
2017-12-28,288.9281851
2017-12-29,281.9885814
2017-12-30,280.9232666
2017-12-31,261.249833
2018-01-01,292.7613775
2018-01-02,312.6597936
2018-01-03,347.3941329
2018-01-04,402.3049227
2018-01-05,440.803948
2018-01-06,449.2869305
2018-01-07,478.6492297
2018-01-08,485.5299887
2018-01-09,487.4235186
2018-01-10,480.0930756
2018-01-11,466.5250102
2018-01-12,416.9749428
2018-01-13,463.2625595
2018-01-14,478.0134568
2018-01-15,438.0354831
2018-01-16,414.5383567
2018-01-17,304.4245576
2018-01-18,318.9747754
2018-01-19,335.9675569
2018-01-20,357.9383963
2018-01-21,404.6017298
2018-01-22,358.8436595
2018-01-23,326.8617168
2018-01-24,331.605462
2018-01-25,349.8302091
2018-01-26,345.860483
2018-01-27,350.0711456
2018-01-28,364.6691561
2018-01-29,373.7215424
