time (UTC), time (unix millis), index (BTC), index (USD)
2019-06-01 00:00:57,1559347257174,0.00344730080466832236,29.5750510379859968
2019-05-31 00:00:48,1559260848981,0.00332976013168018734,27.6322853953299479
2019-05-30 00:00:48,1559174448791,0.0033801050901860509,29.3348910053569547
2019-05-29 00:00:52,1559088052486,0.00337313562467107808,29.5289260875167798
2019-05-28 00:00:56,1559001656521,0.00332001258944373623,29.2879374002704438
2019-05-27 00:00:25,1558915225595,0.00315657509326181841,27.6063266589064789
2019-05-26 00:00:40,1558828840979,0.00320896113976790057,25.9552367110272399
2019-05-25 00:00:10,1558742410582,0.00322203211271150777,25.8526715818867636
2019-05-24 00:00:53,1558656053031,0.00322979589335964119,25.4687235310698235
2019-05-23 00:00:39,1558569639622,0.00326812038391959729,25.0391686232629382
2019-05-22 00:00:08,1558483208070,0.00332887570683922931,26.5335958607590072
2019-05-21 00:00:01,1558396801893,0.00327728971081912412,26.2658757812354722
2019-05-20 00:00:36,1558310436040,0.00333904737301340656,27.413468009286337
2019-05-19 00:00:37,1558224037957,0.003402180167497272,24.8264443696670121
2019-05-18 00:00:03,1558137603170,0.00346791487020419549,25.6350578570755125
2019-05-17 00:00:38,1558051238567,0.00348770052427089215,27.5277268832059256
2019-05-16 00:00:36,1557964836016,0.00339801746320623045,27.8702897507753526
2019-05-15 00:00:59,1557878459965,0.00308390629014878561,24.6736046986084361
2019-05-14 00:00:39,1557792039614,0.00277093120452326673,21.6753248004578616
2019-05-13 00:00:44,1557705644048,0.00297042900539743132,20.7110403466875681
2019-05-12 00:00:03,1557619203858,0.00299955093214686851,21.6194894795933301
2019-05-11 00:00:11,1557532811562,0.00303686479053443849,19.2921924085656755
2019-05-10 00:00:57,1557446457468,0.00308951608200614064,19.0274961212175384
2019-05-09 00:00:02,1557360002485,0.00325007919708574736,19.404050825370792
2019-05-08 00:00:44,1557273644825,0.00331269871271452042,19.2613277673000454
2019-05-07 00:00:16,1557187216077,0.00344820703678906399,19.7344664157322711
2019-05-06 00:00:24,1557100824424,0.00336490974040561065,19.388239380356513
2019-05-05 00:00:47,1557014447404,0.00335857254206058976,19.5110165274413987
2019-05-04 00:00:12,1556928012119,0.00348952648214254828,19.9831457673602131
2019-05-03 00:00:31,1556841631292,0.00355847396781400465,19.4524128550611799
2019-05-01 00:00:48,1556668848461,0.0036845392031503504,19.5863346226120143
2019-04-30 00:00:48,1556582448622,0.00355112974870978393,18.4888816461729242
2019-04-29 00:00:35,1556496035693,0.00362117128603722718,18.9941310502727312
2019-04-28 00:00:40,1556409640000,0.0036619261653728051,19.0665415540963394
2019-04-27 00:00:44,1556323244952,0.00362359337424580626,18.9039959850158219
2019-04-26 00:00:26,1556236826935,0.00359384457626624578,18.534462684409494
2019-04-25 00:00:53,1556150453016,0.00362033177904744164,19.7954069704515874
2019-04-24 00:00:03,1556064003789,0.00375910074567601575,20.9759636126651614
2019-04-23 00:00:47,1555977647560,0.00391819194209234046,21.1574695795898116
2019-04-22 00:00:09,1555891209883,0.00393916930103487429,20.9490334217086271
2019-04-21 00:00:56,1555804856691,0.0040411174994048199,21.5393591763373387
2019-04-20 00:00:02,1555718402308,0.00409232746265852584,21.6935187701457934
2019-04-19 00:00:44,1555632044902,0.00412945550377625831,21.8916803456768214
2019-04-18 00:00:56,1555545656489,0.00410355724000835594,21.4993268075993456
2019-04-17 00:00:46,1555459246170,0.00408593551945934594,21.3564918221124778
2019-04-15 00:00:21,1555286421878,0.00416907681077302843,21.5782137445169546
2019-04-14 00:00:16,1555200016105,0.00414127409524091619,21.0683642143985033
2019-04-13 00:00:57,1555113657014,0.00414629258388681324,21.1393635742176151
2019-04-12 00:00:33,1555027233719,0.00416611725556781647,21.1151056315497883
2019-04-11 00:00:34,1554940834208,0.00428543709954259857,22.8371207017550404
2019-04-10 00:00:09,1554854409962,0.0042856842376798503,22.3314467427691241
2019-04-09 00:00:20,1554768020139,0.00431015566397075899,22.8630465461425132
2019-04-08 00:00:34,1554681634016,0.00439619158158242006,22.8517874087809112
2019-04-07 00:00:18,1554595218177,0.00437755331404262368,22.1807462327004323
2019-04-04 00:00:35,1554336035813,0.00431358977731029648,21.4136794303275657
2019-04-03 00:00:37,1554249637828,0.00440746990622261411,21.5269227772324783
2019-04-02 00:00:47,1554163247016,0.00452555238660007526,18.7532217068602591
2019-04-01 00:00:14,1554076814205,0.00454358508404399761,18.6162225688622662
2019-03-31 00:00:31,1553990431401,0.00451436528604404978,18.5084186083364486
2019-03-30 00:00:45,1553904045867,0.00453136112118708405,18.584554063665049
2019-03-29 00:00:38,1553817638760,0.00447277037890660666,17.9798894002368037
2019-03-28 00:00:42,1553731242631,0.00448367402414939775,18.0917083528001115
2019-03-27 00:00:09,1553644809051,0.00430681659250549149,16.9322036950431283
2019-03-26 00:00:04,1553558404518,0.00429377968951865242,16.8298012304871705
2019-03-25 00:00:24,1553472024374,0.0043038070521783196,17.1363938255679891
2019-03-24 00:00:25,1553385625106,0.00434637935287088707,17.3513626063252318
2019-03-23 00:00:46,1553299246886,0.00429064454200862606,17.1484183545427484
2019-03-22 00:00:10,1553212810643,0.00424714912999554512,16.9636770520057922
2019-03-21 00:00:43,1553126443445,0.00425121401196636856,17.1700736562773493
2019-03-20 00:00:27,1553040027635,0.00421532915440930855,16.8891979006500783
2019-03-19 00:00:29,1552953629665,0.00419139935879761939,16.6355176914021428
2019-03-18 00:00:45,1552867245010,0.00423752031493923424,16.8140849524070752
2019-03-17 00:00:33,1552780833098,0.00424103652585923734,17.0020347603724034
