date,value
2017-07-18,54.48001234
2017-07-19,59.13340208
2017-07-20,54.13632628
2017-07-21,62.79552354
2017-07-22,63.49527502
2017-07-23,75.77678108
2017-07-24,74.47719177
2017-07-25,77.05586789
2017-07-26,64.32117874
2017-07-28,64.67646259
2017-07-29,59.99450627
2017-07-30,61.12662665
2017-08-01,60.36022643
2017-08-02,66.43679557
2017-08-03,63.94872691
2017-08-04,67.24420365
2017-08-05,67.99306768
2017-08-06,72.36336526
2017-08-07,72.42172785
2017-08-09,79.08664537
2017-08-10,75.52854505
2017-08-11,77.3204891
2017-08-12,86.7011923
2017-08-13,85.14918578
2017-08-14,79.75595033
2017-08-15,77.04199726
2017-08-16,75.93725227
2017-08-17,78.63594129
2017-08-18,76.1765362
2017-08-19,69.58251863
2017-08-20,72.85739602
2017-08-21,75.04799961
2017-08-23,69.56065258
2017-08-24,68.94451488
2017-08-25,72.2605983
2017-08-26,71.71108678
2017-08-27,71.57700195
2017-08-28,74.5970669
2017-08-29,74.66098661
2017-08-30,77.44689655
2017-08-31,80.96571907
2017-09-01,83.25907828
2017-09-02,86.57100416
2017-09-03,76.356391
2017-09-04,76.88085005
2017-09-05,63.26246616
2017-09-06,70.95303146
2017-09-07,75.71949501
2017-09-08,78.14340775
2017-09-09,69.34531188
2017-09-10,70.37787952
2017-09-11,67.92729148
2017-09-12,66.71246783
2017-09-13,66.71454486
2017-09-14,61.44914554
2017-09-15,47.48627963
2017-09-16,57.77451455
2017-09-17,58.04851818
2017-09-18,58.28656604
2017-09-19,64.01518492
2017-09-20,59.12339478
2017-09-21,56.9256785
2017-09-22,50.92770994
2017-09-23,52.93302843
2017-09-24,55.70547489
2017-09-25,53.49579473
2017-09-26,58.68562724
2017-09-27,58.15558152
2017-09-28,63.31529331
2017-09-29,63.8993205
2017-09-30,60.34135832
2017-10-01,62.59845306
2017-10-02,62.02073039
2017-10-03,58.60317525
2017-10-04,58.13056135
2017-10-05,56.0876917
2017-10-06,56.36351951
2017-10-07,57.48818188
2017-10-08,54.73354758
2017-10-09,51.12148906
2017-10-10,49.32933782
2017-10-11,52.062988
2017-10-12,55.28634125
2017-10-13,52.11687994
2017-10-14,52.26702852
2017-10-15,51.75062139
2017-10-16,49.91376652
2017-10-17,52.20541028
2017-10-18,51.8594093
2017-10-19,51.07003078
2017-10-20,50.02818687
2017-10-21,47.19324402
2017-10-22,46.10352112
2017-10-23,47.22574109
2017-10-24,45.44416013
2017-10-25,48.8047647
2017-10-26,48.35548607
2017-10-27,47.4348442
2017-10-28,47.10665542
2017-10-29,46.49275538
2017-10-30,47.81684269
2017-10-31,48.22876138
2017-11-01,46.42621178
2017-11-02,44.97602485
2017-11-03,44.43632471
2017-11-04,47.34013119
2017-11-05,46.59014161
2017-11-06,45.93854169
2017-11-07,45.66225349
2017-11-08,46.44643941
2017-11-09,52.41033925
2017-11-10,55.30213837
2017-11-11,48.5150213
2017-11-12,49.54932644
2017-11-13,45.33189281
2017-11-14,49.89650999
2017-11-15,53.62951551
2017-11-16,53.67076382
2017-11-17,52.4496773
2017-11-20,56.24453103
2017-11-21,59.7589489
2017-11-22,58.65275215
2017-11-23,62.1231508
2017-11-24,60.82474901
2017-11-25,62.68254694
2017-11-25,62.69029885
2017-11-27,69.75745548
2017-11-28,74.82931836
2017-11-28,74.82931836
2017-11-29,74.47236319
2017-11-30,65.09482495
2017-12-01,69.44068371
2017-12-02,76.65762502
2017-12-03,83.04258799
2017-12-04,83.31630304
2017-12-05,91.44833255
2017-12-06,91.41508094
2017-12-07,90.54931538
2017-12-08,79.8380137
2017-12-09,87.16810527
2017-12-10,85.22473231
2017-12-11,77.85676714
2017-12-12,89.81547531
2017-12-13,100.2411614
2017-12-14,122.2075355
2017-12-15,138.1136112
2017-12-16,139.436679
2017-12-17,167.236636
2017-12-18,174.3306997
2017-12-19,205.1684054
2017-12-20,224.6356878
2017-12-21,220.4871203
2017-12-22,242.2767059
2017-12-23,186.3964994
2017-12-24,213.2173146
2017-12-25,204.2449821
2017-12-26,216.2716803
2017-12-26,216.3008072
2017-12-27,227.4977535
2017-12-28,230.9954764
2017-12-29,225.9215982
2017-12-30,223.21703
2017-12-31,206.9364588
2018-01-01,237.5016783
2018-01-02,253.8919612
2018-01-03,301.515067
2018-01-04,360.4144319
2018-01-05,456.0718701
2018-01-06,484.9489452
2018-01-07,438.8664402
2018-01-08,461.4071721
2018-01-09,414.1036819
2018-01-10,391.7646644
2018-01-11,401.8187121
2018-01-12,365.2224559
2018-01-13,403.1717412
2018-01-14,422.0228083
2018-01-15,371.9979455
2018-01-16,351.9349394
2018-01-17,263.250421
2018-01-18,289.949698
2018-01-19,284.7817618
2018-01-20,300.7332227
2018-01-21,354.0009006
2018-01-22,307.7388215
2018-01-23,291.7805892
2018-01-24,291.7890088
2018-01-25,306.1832971
2018-01-26,302.9850731
2018-01-27,302.1912973
2018-01-28,310.3196073
2018-01-29,319.6886511
