time (UTC), time (unix millis), index (BTC), index (USD)
2019-06-01 00:00:57,1559347257174,0.0261471355942965965,224.321262783699723
2019-05-31 00:00:48,1559260848981,0.0258287262670922162,214.341786610921105
2019-05-30 00:00:48,1559174448791,0.0263543579091923517,228.72135515164436
2019-05-29 00:00:52,1559088052486,0.0256163792949218108,224.249557384251887
2019-05-28 00:00:56,1559001656521,0.0252861941322951901,223.065561013981153
2019-05-27 00:00:25,1558915225595,0.0244915712818674219,214.194909742654033
2019-05-26 00:00:40,1558828840979,0.0257091834417508443,207.945161319756323
2019-05-25 00:00:10,1558742410582,0.0258135431258717969,207.120546739810493
2019-05-24 00:00:53,1558656053031,0.0261314672169502826,206.061044098186073
2019-05-23 00:00:39,1558569639622,0.0260385096400228867,199.497740898099892
2019-05-22 00:00:08,1558483208070,0.0261491174624865694,208.427762394267063
2019-05-21 00:00:01,1558396801893,0.0249995185393232303,200.35892657791257
2019-05-20 00:00:36,1558310436040,0.0251959469270311293,206.857887261568663
2019-05-19 00:00:37,1558224037957,0.0264960326181194888,193.347279516511236
2019-05-18 00:00:03,1558137603170,0.026238451426598669,193.956381738204925
2019-05-17 00:00:38,1558051238567,0.0261701216608388187,206.555567648814616
2019-05-16 00:00:36,1557964836016,0.0259047783503938006,212.469090101103461
2019-05-15 00:00:59,1557878459965,0.02345285710353524,187.640761677509033
2019-05-14 00:00:39,1557792039614,0.0225588338854312634,176.464161502134374
2019-05-13 00:00:44,1557705644048,0.0243214356094185701,169.578950811731573
2019-05-12 00:00:03,1557619203858,0.0249294567240920216,179.680938770635663
2019-05-11 00:00:11,1557532811562,0.0254875964499914308,161.914226895355768
2019-05-10 00:00:57,1557446457468,0.0254868280518117038,156.966498644373019
2019-05-09 00:00:02,1557360002485,0.0272192075911558314,162.507697658166222
2019-05-08 00:00:44,1557273644825,0.0277237787826245634,161.196908137377221
2019-05-07 00:00:16,1557187216077,0.0289645891828398082,165.76751522626185
2019-05-06 00:00:24,1557100824424,0.0285247167626396167,164.356276844519556
2019-05-05 00:00:47,1557014447404,0.0285021521237925936,165.578070501873924
2019-05-04 00:00:12,1556928012119,0.0295611234057098146,169.284927650275876
2019-05-03 00:00:31,1556841631292,0.0303682493775918258,166.008162465570592
2019-05-01 00:00:48,1556668848461,0.0309179911126248839,164.354370085963922
2019-04-30 00:00:48,1556582448622,0.0299129865751537015,155.741329550832745
2019-04-29 00:00:35,1556496035693,0.0309922857562248306,162.563847634348974
2019-04-28 00:00:40,1556409640000,0.031372233416149635,163.34572710122643
2019-04-27 00:00:44,1556323244952,0.0307573618255150109,160.45868959571979
2019-04-26 00:00:26,1556236826935,0.0308042243406699175,158.866009491565677
2019-04-25 00:00:53,1556150453016,0.0312933306913513384,171.107029494189703
2019-04-24 00:00:03,1556064003789,0.0328411919948696854,183.255436575710462
2019-04-23 00:00:47,1555977647560,0.0341143937448408416,184.21104901185285
2019-04-22 00:00:09,1555891209883,0.0343924928188832774,182.903913606703128
2019-04-21 00:00:56,1555804856691,0.0359694813957765966,191.719141867150171
2019-04-20 00:00:02,1555718402308,0.0357615320752427204,189.572675794489072
2019-04-19 00:00:44,1555632044902,0.0351979380912841103,186.596515888517786
2019-04-18 00:00:56,1555545656489,0.0350687296332945972,183.731829487532366
2019-04-17 00:00:46,1555459246170,0.0348970178709353401,182.400792481267388
2019-04-15 00:00:21,1555286421878,0.0356490227418115452,184.511408021605348
2019-04-14 00:00:16,1555200016105,0.0356837956901811665,181.538141852739386
2019-04-13 00:00:57,1555113657014,0.0357842736235294695,182.441724760764032
2019-04-12 00:00:33,1555027233719,0.0354587848059533528,179.715533868729835
2019-04-11 00:00:34,1554940834208,0.036718423839734636,195.672706827436741
2019-04-10 00:00:09,1554854409962,0.0370319103791751925,192.962450930181404
2019-04-09 00:00:20,1554768020139,0.037441111621519238,198.6048636010282
2019-04-08 00:00:34,1554681634016,0.03902730382234295,202.86733040079713
2019-04-07 00:00:18,1554595218177,0.0390198706436403336,197.71086419507543
2019-04-04 00:00:35,1554336035813,0.0377925239423073656,187.611023380198986
2019-04-03 00:00:37,1554249637828,0.0379584464181788386,185.396284529181486
2019-04-02 00:00:47,1554163247016,0.0401334885718668821,166.307258156256665
2019-04-01 00:00:14,1554076814205,0.0397175994224774134,162.733096678727236
2019-03-31 00:00:31,1553990431401,0.0389244825927650487,159.586247964243938
2019-03-30 00:00:45,1553904045867,0.038885677675251154,159.482539513125147
2019-03-29 00:00:38,1553817638760,0.0388374130209236737,156.120777851830127
2019-03-28 00:00:42,1553731242631,0.0381063157594770663,153.759695153342051
2019-03-27 00:00:09,1553644809051,0.0369519158137623302,145.276064592460671
2019-03-26 00:00:04,1553558404518,0.0370248397287326544,145.12171985588509
2019-03-25 00:00:24,1553472024374,0.0376018614589226224,149.718679002677277
2019-03-24 00:00:25,1553385625106,0.0372464178408818611,148.692980817921864
2019-03-23 00:00:46,1553299246886,0.0365665999591943056,146.145724206255892
2019-03-22 00:00:10,1553212810643,0.0361061701420159337,144.212833391742691
2019-03-21 00:00:43,1553126443445,0.0362371374210196801,146.356856385068369
2019-03-20 00:00:27,1553040027635,0.0356232774976975933,142.728731610212293
2019-03-19 00:00:29,1552953629665,0.0354864330894642047,140.844413745839944
2019-03-18 00:00:45,1552867245010,0.0358019525757394957,142.058804992222321
2019-03-17 00:00:33,1552780833098,0.0356446276030066775,142.896953098999006
2019-03-16 00:00:28,1552694428767,0.0360588277585546443,140.803032402841836
2019-03-15 00:00:58,1552608058469,0.0355924528857964398,137.497937947649689
