,TYPE,MARKET,FROMSYMBOL,TOSYMBOL,FLAGS,PRICE,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LASTTRADEID,VOLUMEDAY,VOLUMEDAYTO,VOLUME24HOUR,VOLUME24HOURTO,OPENDAY,HIGHDAY,LOWDAY,OPEN24HOUR,HIGH24HOUR,LOW24HOUR,LASTMARKET,VOLUMEHOUR,VOLUMEHOURTO,OPENHOUR,HIGHHOUR,LOWHOUR,CHANGE24HOUR,CHANGEPCT24HOUR,CHANGEDAY,CHANGEPCTDAY,SUPPLY,MKTCAP,TOTALVOLUME24H,TOTALVOLUME24HTO,Ticker,Launched
BTC,5,CCCAGG,BTC,USD,2,7857.57,1558534152,0.14145627,1111.6524871101,15585341520001,20330.12221844676,160343406.6988281,39556.34858773676,314037954.6634658,7947.9,8018.03,7763.12,7951.61,8104.04,7755.95,Bitlish,156.99520104999985,1232653.3357090617,7866.02,7868.77,7853.18,-94.03999999999996,-1.1826535758167211,-90.32999999999993,-1.1365266296757626,17715537.0,139201072065.09,401281.0093247685,3156314797.1309443,BTC,2013-11-29
XRP,5,CCCAGG,XRP,USD,4,0.3908,1558534271,3.0,1.1733,1076254,74031653.61162002,29416829.988639116,107614807.88261,42839288.623410925,0.3971,0.4123,0.3841,0.3978,0.4132,0.3834,Coinbase,519866.4821716101,203075.84493331847,0.3913,0.3914,0.3905,-0.007000000000000006,-1.7596782302664673,-0.006300000000000028,-1.5865021405187678,99991850794.0,39076815290.2952,1710179638.3704393,669121624.3780546,XRP,2015-01-21
ETH,5,CCCAGG,ETH,USD,4,252.71,1558534177,3.40336908,859.5548948448001,47868424,273445.9678289195,69807483.08878325,601588.8688976604,154313482.56788012,254.94,261.19,250.38,252.34,263.89,250.05,Coinbase,2502.5451562199996,632575.5740721592,253.03,253.06,252.24,0.37000000000000455,0.1466275659824065,-2.2299999999999898,-0.8747156193614145,106173947.8741,26831218367.263813,8893601.860566469,2249788085.6925044,ETH,2015-08-07
BCH,5,CCCAGG,BCH,USD,2,405.55,1558534142,0.02458622,9.9800384224,10828146,62573.497425570604,25661591.33280076,112057.01368770003,46478365.00745516,416.78,424.2,398.69,417.15,428.49,398.11,Coinbase,789.8300450299995,320102.92613671307,405.7,406.07,404.8,-11.599999999999966,-2.7807743018098923,-11.229999999999961,-2.6944671049474453,17715458.5449724,7184504212.913557,1055791.1257981763,429209734.1738588,BCH,2017-08-01
CRO,5,CCCAGG,CRO,USD,1,0.0649879756,1558534168,0.0,0.0,0,0.0,0.0,0.0,0.0,0.06459506159999999,0.0677383736,0.0637306508,0.0642807304,0.0682884532,0.0638092336,HitBTC,0.0,0.0,0.0649879756,0.0654594724,0.06459506159999999,0.0007072451999999979,1.1002444987775029,0.0003929140000000081,0.6082725060827376,100000000000.0,6498797560.0,3708236.256387334,240990.7673491354,CRO,2019-03-16
EOS,5,CCCAGG,EOS,USD,2,6.2,1558534175,1409.73210086,8740.761944962258,360260605,826226.5847494589,5143863.481357894,1429986.1824557802,8949432.372498631,6.28,6.36,6.15,6.26,6.38,6.15,Bitfinex,4450.12039482,27603.455142695755,6.22,6.22,6.2,-0.05999999999999961,-0.9584664536741151,-0.08000000000000007,-1.2738853503184724,1012657002.2796,6278473414.13352,121931814.05686957,756060765.1938641,EOS,2017-06-29
LTC,5,CCCAGG,LTC,USD,4,90.31,1558534203,0.15,13.52955,360260639,150012.69517991046,13642761.593483299,234972.45364032002,21463396.507423352,91.24,92.46,89.53,91.37,92.72,89.44,Bitfinex,5168.12042622,467541.8140304609,90.53,90.53,90.29,-1.0600000000000023,-1.1601182007223403,-0.9299999999999926,-1.0192897851819296,61884376.4372513,5588778036.048165,8792220.259770935,794268445.8790793,LTC,2013-11-29
USDT,5,CCCAGG,USDT,USD,4,1.0,1558534151,79.91,79.98991,4613435,5406417.779616957,5421000.486905586,10505331.774574757,10546471.635508493,1.0,1.0,1.0,1.0,1.01,1.0,OKCoin,11006.225414280001,11021.655416012189,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2926909605.0,2926909605.0,61810458.97378023,61851598.834713966,USDT,2015-01-09
XLM,5,CCCAGG,XLM,USD,4,0.1292,1558534267,4616.0,596.06408,734671,20194015.15585539,2682536.5453155763,33996576.1765375,4542426.88352109,0.1346,0.1378,0.1287,0.1337,0.1383,0.1285,Coinbase,116079.38969851001,15013.642976004821,0.1295,0.1295,0.1291,-0.004500000000000004,-3.365744203440541,-0.005399999999999988,-4.011887072808312,19267054195.0,2489303401.994,604081235.9220603,78197364.92264263,XLM,2017-01-17
ADA,5,CCCAGG,ADA,USD,4,0.08158,1558534112,5476.04150812,446.3576193683693,1558534112.3589,4198218.460911902,350165.0535378173,7576172.785153142,637465.3804907271,0.08451,0.08563,0.08036,0.08443,0.08645,0.08029,Kraken,18066.79987554,1473.167767679233,0.08161,0.08166,0.08157,-0.0028500000000000053,-3.3755774013976136,-0.002930000000000002,-3.4670453200804663,25927070538.0,2115130414.49004,1100943967.230714,89834410.05135958,ADA,2017-12-30
