,TYPE,MARKET,FROMSYMBOL,TOSYMBOL,FLAGS,PRICE,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LASTTRADEID,VOLUMEDAY,VOLUMEDAYTO,VOLUME24HOUR,VOLUME24HOURTO,OPENDAY,HIGHDAY,LOWDAY,OPEN24HOUR,HIGH24HOUR,LOW24HOUR,LASTMARKET,VOLUMEHOUR,VOLUMEHOURTO,OPENHOUR,HIGHHOUR,LOWHOUR,CHANGE24HOUR,CHANGEPCT24HOUR,CHANGEDAY,CHANGEPCTDAY,SUPPLY,MKTCAP,TOTALVOLUME24H,TOTALVOLUME24HTO,Ticker,Launched
TRX,5,CCCAGG,TRX,USD,1,0.0278,1558533874,14972.85,413.87622567,90316351,5817626.652649322,163723.47038393505,9733940.300234951,276445.0677626368,0.02842,0.02895,0.02727,0.02855,0.02908,0.02719,Exmo,15292.85,422.80422567,0.02777,0.0278,0.02777,-0.0007500000000000007,-2.6269702276707556,-0.0006200000000000025,-2.1815622800844565,66752027614.8321,1855706367.6923323,10075640094.635248,280108636.15827596,TRX,2017-10-10
BSV,5,CCCAGG,BSV,USD,2,102.87,1558534154,30.0,3085.2000000000003,360260529,92416.48751601057,9975350.599388288,189127.0065092,19668203.405127715,106.0,118.82,98.65,107.46,119.67,92.32,Bitfinex,401.34042702999994,41171.192990411655,101.74,102.96,101.74,-4.589999999999989,-4.271356783919588,-3.1299999999999955,-2.952830188679241,17715508.5449724,1822394364.021311,3243498.6995582497,333871419.4690834,BSV,2018-11-19
CR,5,CCCAGG,CR,USD,1,0.8644108,1558534168,0.0,0.0,0,0.0,0.0,0.0,0.0,0.8644108,3.79554924,0.785828,0.8644108,5.2650476,0.785828,BitMart,0.0,0.0,0.8644108,3.79554924,0.785828,0.0,0.0,0.0,0.0,2000000000.0,1728821600.0,263313.6640000288,227611.1749491961,CR,2019-03-02
XMR,5,CCCAGG,XMR,USD,2,89.18,1558534081,1.2645,112.02083222,90316490,3220.802840209995,284851.6986235388,10798.32156447,957641.3596752747,88.79,90.18,85.45,88.66,90.17,87.75,Exmo,1.2645,112.02083222,89.19,89.2,89.18,0.5200000000000102,0.5865102639296303,0.39000000000000057,0.43923865300146475,16995997.4939763,1515703056.5128064,1388939.845240423,123860302.44109677,XMR,2015-01-29
HT,5,CCCAGG,HT,USD,2,2.8711264,1558534193,0.0,0.0,0,0.0,0.0,0.0,0.0,2.691681,3.0278252,2.6082768,2.7144276,3.0278252,2.6082768,HuobiPro,0.0,0.0,2.8787086,2.9039826,2.8711264,0.15669880000000003,5.772811918063316,0.1794454000000001,6.66666666666667,500000000.0,1435563200.0,30015285.220745984,86177677.80081363,HT,2018-02-20
DASH,5,CCCAGG,DASH,USD,4,161.39,1558533963,4.9374,793.90064192,90316415,5101.318052720003,836017.4216731841,7706.20375025,1270913.7242982308,166.21,167.58,160.17,166.69,169.38,159.82,Exmo,6.30622563,1015.01836543736,161.7,161.71,161.37,-5.300000000000011,-3.179554862319282,-4.820000000000022,-2.899945851633489,8820128.76211805,1423480580.9182322,809970.6104329646,130748366.31882152,DASH,2014-02-08
LINK,5,CCCAGG,LINK,USD,4,1.41711318,1558534193,0.0,0.0,0,0.0,0.0,0.0,0.0,1.17473552,1.45047486,1.16917524,1.1284841,1.45148582,1.10017722,Binance,0.0,0.0,1.39588302,1.4330358,1.39360836,0.28862908,25.576707726763715,0.24237766000000005,20.63253012048193,1000000000.0,1417113180.0,48463391.89249214,68678111.39835575,LINK,2017-09-21
SHND,5,CCCAGG,SHND,USD,4,7.85958e-05,1558534243,0.0,0.0,0,0.0,0.0,0.0,0.0,7.85958e-05,7.85958e-05,7.85958e-05,7.85958e-05,7.85958e-05,7.85958e-05,CoinDeal,0.0,0.0,7.85958e-05,7.85958e-05,7.85958e-05,0.0,0.0,0.0,0.0,16048642951589.6,1261355931.694546,39778434.61721762,3126.417891487913,SHND,2015-10-29
MIOTA,5,CCCAGG,MIOTA,USD,4,0.4067,1558534211,121.1,49.1410479,556379930,4674932.766771067,1937547.9030000402,8825893.57919895,3669596.8001723387,0.4132,0.4245,0.4023,0.4088,0.4269,0.4012,HitBTC,15952.120500110002,6480.637019527368,0.4062,0.4074,0.4061,-0.0020999999999999908,-0.513698630136984,-0.006500000000000006,-1.5730880929332054,2779530283.0,1130434966.0961,66231042.43637199,27016270.840384617,MIOTA,2017-06-13
BEC,5,CCCAGG,BEC,USD,4,0.1470542386,1558534143,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1476830114,0.1476830114,0.146189676,0.1476830114,0.1571932,0.146189676,OKEX,0.0,0.0,0.1470542386,0.1470542386,0.1470542386,-0.0006287728000000103,-0.425758382118155,-0.0006287728000000103,-0.425758382118155,7000000000.0,1029379670.1999999,729856.1389999965,107328.43880818025,BEC,2018-05-11
BTMX,5,CCCAGG,BTMX,USD,4,0.0851760588,1558534152,0.0,0.0,0,0.0,0.0,0.0,0.0,0.084861756,0.08666899709999999,0.083290242,0.0875333298,0.08769048119999999,0.08266163639999999,bitmax,0.0,0.0,0.0850974831,0.0851760588,0.08407599899999998,-0.002357271000000008,-2.6929982046678727,0.0003143027999999992,0.37037037037036946,10000000000.0,851760588.0,15214179.896500632,1295883.8814581158,BTMX,2019-05-02
ONT,5,CCCAGG,ONT,USD,4,1.334563476,1558534225,0.0,0.0,0,0.0,0.0,0.0,0.0,1.373075614,1.394296588,1.33220559,1.378577348,1.396654474,1.330633666,OKEX,0.0,0.0,1.334563476,1.337707324,1.332991552,-0.044013872000000065,-3.1927023945268003,-0.038512137999999974,-2.8048082427017724,613348625.0,818552672.9798205,40294170.70250012,53775128.51526592,ONT,2018-03-16
ETC,5,CCCAGG,ETC,USD,4,7.3,1558534147,1.496829,10.7680159,90316588,141444.24664044057,1037839.4191057659,322329.697704,2398063.9924716554,7.41,7.51,7.16,7.38,7.66,7.13,Exmo,466.7606510799999,3407.704731383027,7.31,7.32,7.29,-0.08000000000000007,-1.084010840108402,-0.11000000000000032,-1.4844804318488571,110643588.0,807698192.4,20227012.436644584,147702247.98673794,ETC,2016-07-27
FXC,5,CCCAGG,FXC,USD,4,0.007670355499999999,1558534182,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0078194662,0.008213724999999998,0.007455534999999999,0.0075338813,0.008213724999999998,0.0073670795,IDEX,0.0,0.0,0.0075667362,0.007670355499999999,0.0075667362,0.00013647419999999934,1.8114726601811386,-0.0001491107000000007,-1.906916612798975,100000000000.0,767035549.9999999,26632195.6304478,204278.40823108124,FXC,2019-05-09
NEO,5,CCCAGG,NEO,USD,4,11.71,1558534188,20.0,234.14000000000001,360260615,189152.67320677967,2232022.545178034,283694.30620603,3404928.3008560096,12.14,12.32,11.44,12.15,12.65,11.43,Bitfinex,804.7115897799998,9418.62456835266,11.73,11.73,11.69,-0.4399999999999995,-3.621399176954728,-0.4299999999999997,-3.5420098846787456,65000000.0,761150000.0,12087692.034981946,141629741.704822,NEO,2017-08-05
XEM,5,CCCAGG,XEM,USD,4,0.0830059296,1558534278,0.0,0.0,0,0.0,0.0,794260.3594425103,69278.36696025512,0.0859928854,0.08662171819999999,0.0821412845,0.0874863633,0.08795798789999999,0.0819840763,Binance,0.0,0.0,0.0828487214,0.0830059296,0.0828487214,-0.004480433699999994,-5.121293800539077,-0.0029869557999999963,-3.473491773308954,8999999999.0,747053366.3169941,301325723.4437324,25015171.834319815,XEM,2015-03-31
MKR,5,CCCAGG,MKR,USD,4,679.6822999999999,1558534219,0.0,0.0,0,0.0,0.0,21.301388420000002,14348.6552665591,656.942,699.8959,634.2017,677.1556,692.3158,636.7284,Bitfinex,0.0,0.0,669.5754999999999,679.6822999999999,664.5220999999999,2.5266999999998916,0.3731343283581929,22.740299999999934,3.4615384615384515,1000000.0,679682300.0,1018.4356806849768,692083.1844420907,MKR,2017-11-11
KBC,5,CCCAGG,KBC,USD,4,0.0547072008,1558534201,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0595019411,0.06170280549999999,0.0521133249,0.05525741689999999,0.06288184,0.0521133249,HitBTC,0.0,0.0,0.0553360192,0.0553360192,0.0547072008,-0.0005502160999999867,-0.9957325746799192,-0.004794740299999996,-8.058124174372516,12000000000.0,656486409.6,10219426.394400053,559076.2118192636,KBC,2017-08-03
BAT,5,CCCAGG,BAT,USD,1,0.359424081,1558534143,0.0,0.0,0,0.0,0.0,236854.03027682996,86463.56055927703,0.362646558,0.369563094,0.358009335,0.370663452,0.372235392,0.357852141,Binance,0.0,0.0,0.358480917,0.359424081,0.358480917,-0.011239370999999998,-3.0322307039864285,-0.0032224770000000014,-0.8885999133073259,1500000000.0,539136121.5,59412286.22358091,21355538.894415412,BAT,2017-06-01
BNB,5,CCCAGG,BNB,USD,4,31.59125,1558534146,0.0,0.0,0,0.0,0.0,5154.910000000001,162808.9520619999,32.324167,32.34944,30.706695,30.125416,33.031811,30.100143,Binance,0.0,0.0,31.59125,31.667069,31.565977,1.4658339999999974,4.865771812080528,-0.732917000000004,-2.2673964034402,16579517.0552533,523767668.1717708,11332889.197561355,358020094.7639847,BNB,2017-08-14
ZEC,5,CCCAGG,ZEC,USD,1,72.95,1558534246,0.012933,0.9320813099999999,11865838,7465.606876930016,549034.1959650532,14675.251844110002,1095455.0434984379,74.88,75.52,71.56,75.37,76.88,71.43,OKCoin,84.67099806000003,6165.266135440185,72.96,72.96,72.86,-2.4200000000000017,-3.2108265888284486,-1.9299999999999926,-2.577457264957255,6587793.75,480579554.0625,3938800.3175153974,287360378.58421886,ZEC,2016-10-28
MXM,5,CCCAGG,MXM,USD,4,0.029006516,1558534219,0.0,0.0,0,0.0,0.0,0.0,0.0,0.028652778,0.029233919,0.027920035,0.029107584,0.029334987,0.027920035,CoinBene,0.0,0.0,0.028779113,0.029233919,0.028678045,-0.0001010679999999993,-0.3472222222222198,0.0003537379999999993,1.2345679012345654,16000000000.0,464104256.0,39079946.98000001,1133573.107354522,MXM,2018-08-09
KIN,5,CCCAGG,KIN,USD,4,4.29658e-05,1558534193,0.0,0.0,0,0.0,0.0,0.0,0.0,4.54932e-05,4.54932e-05,4.04384e-05,4.54932e-05,4.802060000000001e-05,4.04384e-05,HitBTC,0.0,0.0,4.29658e-05,4.29658e-05,4.29658e-05,-2.527399999999999e-06,-5.555555555555554,-2.527399999999999e-06,-5.555555555555554,10000000000000.0,429658000.0,1223888668.0,52585.3557315544,KIN,2017-09-26
VET,5,CCCAGG,VET,USD,4,0.0073881556,1558534261,0.0,0.0,0,0.0,0.0,810336.36501217,6240.624253340712,0.0076239478,0.007702545199999999,0.007230960799999999,0.0077811426,0.0077811426,0.007230960799999999,Kucoin,0.0,0.0,0.0073881556,0.007466753,0.0073095582,-0.000392987,-5.050505050505051,-0.00023579220000000036,-3.0927835051546437,55454734800.0,409708209.4591349,1969044132.561576,14547858.16773224,VET,2018-07-13
BTG,5,CCCAGG,BTG,USD,2,23.71,1558534080,7.01688369,166.40539670835,360260460,22322.923591600094,541029.3191706619,35793.464591870004,856733.2671991817,23.47,24.68,23.46,23.8,24.68,22.97,Bitfinex,156.07908224000005,3711.28250817487,23.87,23.95,23.71,-0.08999999999999986,-0.37815126050420106,0.240000000000002,1.0225820195994972,17202361.088994,407867981.42004776,412947.99993950524,9799067.300291613,BTG,2017-10-24
DCN,5,CCCAGG,DCN,USD,4,4.55022e-05,1558534159,0.0,0.0,0,0.0,0.0,0.0,0.0,4.80301e-05,5.0558e-05,4.55022e-05,4.80301e-05,5.30859e-05,4.55022e-05,HitBTC,0.0,0.0,4.55022e-05,4.55022e-05,4.55022e-05,-2.5279e-06,-5.263157894736842,-2.5279e-06,-5.263157894736842,8000000000000.0,364017600.0,249479000.0,11351.843353799999,DCN,2017-09-30
USDC,5,CCCAGG,USDC,USD,4,1.003411599438089,1558533146,0.0,0.0,0,0.0,0.0,16753.37642118,16676.0,0.9900990099009901,1.004823151125402,0.9900990099009901,0.9900990099009901,1.004823151125402,0.9900990099009901,HitBTC,0.0,0.0,1.003411599438089,1.003411599438089,1.003411599438089,0.013312589537098907,1.3445715432469896,0.013312589537098907,1.3445715432469896,359624068.69,360850961.96066606,17388691.664027695,17447880.38250703,USDC,2019-01-11
XET,5,CCCAGG,XET,USD,4,1.7870132,1558534263,0.0,0.0,0,0.0,0.0,0.0,0.0,2.8233292,2.8233292,1.7870132,2.8258568,2.8258568,1.7870132,IDAX,0.0,0.0,1.7870132,1.7870132,1.7870132,-1.0388435999999999,-36.76207513416816,-1.0363159999999998,-36.70546105640107,200000000.0,357402640.0,44269.46199999998,79110.11295089836,XET,2018-07-18
DOGE,5,CCCAGG,DOGE,USD,4,0.0029869786,1558534172,0.0,0.0,0,0.0,0.0,15351720.74636338,46233.262838013674,0.0029869786,0.0030655833,0.0029083739,0.0029869786,0.0030655833,0.0029083739,HuobiPro,0.0,0.0,0.0029083739,0.0029869786,0.0029083739,0.0,0.0,0.0,0.0,119600868364.863,357245234.3472628,2333220589.561976,6969657.971596456,DOGE,2014-02-01
ORBS,5,CCCAGG,ORBS,USD,2,0.0324602306,1558534225,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0319100572,0.0330890002,0.0311240952,0.0317528648,0.0331675964,0.0304167294,Upbit,0.0,0.0,0.032617423,0.032617423,0.0324602306,0.0007073657999999983,2.227722772277222,0.0005501733999999994,1.724137931034481,10000000000.0,324602306.0,111428550.35420795,3616996.439921302,ORBS,2019-04-03
ZRX,5,CCCAGG,ZRX,USD,1,0.32,1558534251,368.58159,117.96416929791,1537122,1752711.9975436786,579068.5460648871,3519846.39473213,1159138.243588094,0.3335,0.3374,0.318,0.3202,0.3374,0.318,Coinbase,30446.97902,9743.45679441938,0.32,0.32,0.3191,-0.00019999999999997797,-0.062460961898806365,-0.013500000000000012,-4.047976011994006,1000000000.0,320000000.0,33175951.984247133,10649092.032232895,ZRX,2017-08-11
HOT*,5,CCCAGG,HOT*,USD,4,0.0017742348,1558534193,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0018348924,0.0020143378,0.00176918,0.0021027968,0.00214829,0.0017615978,Binance,0.0,0.0,0.001794454,0.0018020362,0.0017717074,-0.0003285619999999999,-15.624999999999996,-6.065759999999997e-05,-3.305785123966941,177619433541.141,315138580.1449796,10430390570.0,18505961.926885836,HOT*,2018-06-04
QTUM,5,CCCAGG,QTUM,USD,1,3.0600759,1558534219,0.0,0.0,0,0.0,0.0,45125.62895647,142821.53225479246,3.133356,3.1384098,3.0221724,3.1763133,3.2192706,3.0196455,HitBTC,0.0,0.0,3.0626028,3.0651297,3.0499683,-0.11623739999999971,-3.6595067621320516,-0.07328009999999985,-2.33870967741935,100000000.0,306007590.0,47817715.6698742,146330572.99704716,QTUM,2017-03-17
SOLVE,5,CCCAGG,SOLVE,USD,4,0.3042443418,1558534251,0.0,0.0,0,0.0,0.0,0.0,0.0,0.319884906,0.3314384886,0.294341271,0.3297879768,0.344642583,0.2938696962,Upbit,0.0,0.0,0.304558725,0.304558725,0.301807872,-0.02554363500000001,-7.745471877979031,-0.01564056420000004,-4.889434889434901,1000000000.0,304244341.8,31215372.550493583,9497100.475666707,SOLVE,2019-04-22
OMG,5,CCCAGG,OMG,USD,1,2.05,1558534149,2.5,5.1160000000000005,360260527,140666.88546450995,290281.12731955224,257456.36471725,537415.2785372663,2.12,2.15,2.01,2.1,2.15,2.0,Bitfinex,135.4879,275.88285095,2.05,2.05,2.04,-0.050000000000000266,-2.380952380952394,-0.07000000000000028,-3.3018867924528434,140245398.245133,287503066.4025226,20598951.187852137,42237479.665963784,OMG,2017-07-14
DCR,5,CCCAGG,DCR,USD,4,28.58066892,1558534172,0.0,0.0,0,0.0,0.0,0.0,0.0,29.2409484,29.44532062,28.41559905,29.34313451,29.52392532,28.3762967,HuobiPro,0.0,0.0,28.55708751,28.58066892,28.54136657,-0.7624655899999979,-2.598446289847301,-0.6602794799999998,-2.2580645161290316,9816788.28400844,280570375.8029801,30132.57292990091,861209.0906172523,DCR,2015-09-05
QKC,5,CCCAGG,QKC,USD,4,0.0258578866,1558534233,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0237358108,0.027115413,0.0237358108,0.0234214292,0.027115413,0.0232642384,Binance,0.0,0.0,0.025936482,0.026329459,0.0257006958,0.0024364574000000014,10.402684563758395,0.0021220758000000013,8.940397350993383,10000000000.0,258578866.0,337985788.670826,8739598.195861785,QKC,2018-06-12
IOST,5,CCCAGG,IOST,USD,4,0.0120261519,1558534201,0.0,0.0,0,0.0,0.0,486034.89147248,5801.046075712718,0.0127335726,0.0129693795,0.0118689473,0.0124191634,0.0130479818,0.0118689473,Binance,0.0,0.0,0.0120261519,0.0121047542,0.0119475496,-0.00039301150000000014,-3.1645569620253173,-0.0007074206999999992,-5.55555555555555,21000000000.0,252549189.9,1575361256.2097423,18945489.681195345,IOST,2018-01-18
AER,5,CCCAGG,AER,USD,4,0.05965135999999999,1558534134,0.0,0.0,0,0.0,0.0,0.0,0.0,0.045850664,0.067790232,0.045850664,0.045319868,0.067790232,0.037964552,IDEX,0.0,0.0,0.05965135999999999,0.05965135999999999,0.05965135999999999,0.014331491999999987,31.622978248745092,0.013800695999999987,30.099228224917283,4166666663.0,248547333.11461163,256833.0386161016,15320.440046382975,AER,2019-05-16
WAVES,5,CCCAGG,WAVES,USD,4,2.455392148,1558534263,0.0,0.0,0,0.0,0.0,39148.21818574,96291.6978606526,2.446746401,2.53870571,2.440458585,2.492333067,2.537919733,2.398015827,Binance,0.0,0.0,2.455392148,2.46010801,2.451462263,-0.03694091900000007,-1.4821822768842665,0.008645747000000092,0.35335689045936775,100000000.0,245539214.8,9096934.179629209,22336708.22585358,WAVES,2016-06-20
ABBC,5,CCCAGG,ABBC,USD,4,0.2447180496,1558534141,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2380382056,0.2469184688,0.2348947496,0.2366236504,0.245189568,0.2315155344,CoinBene,0.0,0.0,0.2447180496,0.2447180496,0.2447180496,0.008094399199999991,3.420790435071401,0.00667984399999999,2.8062066688676093,1002169550.0106,245248977.64710367,28355324.593499523,6939059.730296115,ABBC,2018-10-09
TUSD,5,CCCAGG,TUSD,USD,4,1.0,1558532979,0.0,0.0,0,0.0,0.0,29801.36458976,29616.71,0.9900990099009901,1.0,0.9900990099009901,1.0,1.0,0.9900990099009901,HitBTC,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.00990099009900991,1.0000000000000009,240998143.18,240998143.18,52395774.51289597,52395589.858306214,TUSD,2019-01-30
LSK,5,CCCAGG,LSK,USD,4,1.99609202,1558534215,0.0,0.0,0,0.0,0.0,8852.49557194,17779.679317907612,1.997663746,2.011023417,1.97251613,2.002378924,2.029098266,1.967015089,Binance,0.0,0.0,1.997663746,1.997663746,1.994520294,-0.00628690399999976,-0.3139717425431592,-0.0015717259999998845,-0.0786782061368943,117123029.0,233788343.54512858,1230602.9678412853,2456506.047445979,LSK,2016-05-24
NANO,5,CCCAGG,NANO,USD,2,1.710871645,1558534222,0.0,0.0,0,0.0,0.0,0.0,0.0,1.72423169,1.753309435,1.68965275,1.743878815,1.77295656,1.688866865,Binance,0.0,0.0,1.71165753,1.7132293,1.71008576,-0.033007169999999864,-1.8927444794952601,-0.013360044999999987,-0.774840474020054,133248289.0,227970719.39486542,1998346.7479814296,3418914.787999389,NANO,2017-10-15
FUNX,5,CCCAGG,FUNX,USD,4,0.5989701000000001,1558534182,0.0,0.0,0,0.0,0.0,0.0,0.0,0.6290449699999999,0.66341625,0.5989701000000001,0.657098,0.66341625,0.5989701000000001,BitTrex,0.0,0.0,0.5989701000000001,0.5989701000000001,0.5989701000000001,-0.0581278999999999,-8.84615384615383,-0.030074869999999865,-4.781036560867798,378604525.462891,226772790.4769604,74870.64782399985,44845.27941420598,FUNX,2019-05-13
MATIC,5,CCCAGG,MATIC,USD,4,0.022475167,1558534212,0.0,0.0,0,0.0,0.0,0.0,0.0,0.029233434,0.0311980465,0.022317998,0.0409425245,0.041178278,0.022317998,Binance,0.0,0.0,0.023261012,0.023261012,0.022317998,-0.0184673575,-45.105566218809976,-0.006758266999999998,-23.11827956989247,10000000000.0,224751670.0,13842650942.60207,311115891.6576889,MATIC,2019-04-30
RED,5,CCCAGG,RED,USD,4,0.007605969,1558534219,0.0,0.0,0,0.0,0.0,0.0,0.0,0.007782852000000001,0.0080810262,0.0074695164,0.007782852000000001,0.0080810262,0.0074695164,Gateio,0.0,0.0,0.007605969,0.007605969,0.007605969,-0.00017688300000000094,-2.2727272727272845,-0.00017688300000000094,-2.2727272727272845,29217302448.6798,222225896.68828264,1109270.8167370856,8437.079444706953,RED,2018-06-08
REP,5,CCCAGG,REP,USD,2,20.19,1558534174,2.727807,55.07442333,85278,12070.387079769986,245982.0591628319,36613.76340061,750676.2846130056,20.53,20.89,19.9,20.61,20.95,19.89,Coinbase,224.41446200000001,4530.15908457,20.15,20.2,20.15,-0.41999999999999815,-2.0378457059679675,-0.33999999999999986,-1.656113005358012,11000000.0,222090000.0,291378.25667024666,5894371.40372697,REP,2016-10-04
GNO,5,CCCAGG,GNO,USD,4,22.00089573,1558534188,0.0,0.0,0,0.0,0.0,562.8282691300001,12569.2596744621,22.37032842,22.62971733,21.83583006,22.33102707,22.64543787,21.75722736,Upbit,0.0,0.0,21.97731492,22.00089573,21.96945465,-0.3301313400000012,-1.4783526927138384,-0.36943269,-1.651440618411806,10000000.0,220008957.3,11412.698911544654,251276.13236221505,GNO,2017-05-01
NPXS,5,CCCAGG,NPXS,USD,4,0.000785885,1558534222,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0008644735000000001,0.0008644735000000001,0.0007072965,0.0008644735000000001,0.0008644735000000001,0.0007072965,HuobiPro,0.0,0.0,0.000785885,0.000785885,0.0007072965,-7.858850000000016e-05,-9.090909090909108,-7.858850000000016e-05,-9.090909090909108,266962422906.54,209801763.7259062,8344245256.817867,6557617.183654309,NPXS,2018-05-14
BCD,5,CCCAGG,BCD,USD,1,1.07677342,1558534143,0.0,0.0,0,0.0,0.0,13961.2,14577.4096094,1.034331256,1.14358053,1.028043528,1.046120746,1.145152462,1.020183868,HitBTC,0.0,0.0,1.069699726,1.077559386,1.069699726,0.030652674000000157,2.9301277235161685,0.042442164000000115,4.1033434650456035,183534024.889807,197624559.6669626,4970474.571138379,5351619.263525802,BCD,2017-11-25
